电影名称,评分
哪吒之魔童降世,8.5
少年的你,8.3
我和我的祖国,7.8
误杀,7.7
中国机长,6.7
银河补习班,6.3
南方车站的聚会,7.4
烈火英雄,6.5
宠爱,6.0
攀登者,6.1
受益人,6.6
地久天长,8.0
新喜剧之王,5.7
老师·好,6.7
双子杀手,6.9
一条狗的使命2,6.9
决战中途岛,7.7
被光抓走的人,6.9
扫毒2天地对决,6.0
使徒行者2：谍影行动,6.3
小小的愿望,5.1
好莱坞往事,7.3
只有芸知道,6.4
擦一擦你那满腹经纶的道貌岸然,5.9
最好的我们,5.4
送我上青云,7.1
追龙Ⅱ,5.5
平原上的夏洛克,7.9
两只老虎,6.0
亲爱的新年好,5.7
大约在冬季,5.2
廉政风云,5.4
别告诉她,7.3
保持沉默,5.3
跳舞吧！大象,5.1
深夜食堂,5.1
吹哨人,5.5
小Q,6.7
你是凶手,5.7
回到中国,5.0
长安道,6.2
全职高手之巅峰荣耀,5.6
花椒之味,7.2
锦衣之下之绣春刀,4.2
阳台上,5.7
再见 南屏晚钟,6.7
决胜时刻,6.6
铤而走险,6.1
六欲天,5.9
如影随心,4.8
我的青春都是你,3.9
学区房72小时,7.1
追凶十九年,5.6
解放·终局营救,4.7
邻里美好的一天,6.7
音乐家,7.0
最长一枪,6.1
狗眼看人心,5.9
亲密旅行,5.6
古田军号,6.6
九龙不败,3.1
北京女子图鉴之助理女王,5.7
我爷爷是同性恋,6.8
我的喜马拉雅,7.9
灵魂的救赎,5.3
锦衣之下之血滴子,0
暴躁家族,4.4
我等你到三十五岁,0
周恩来回延安,6.7
舞出我人生之舞所不能,5.3
毕业的我们,5.0
奔腾岁月,0
早安公主,4.7
三生三世十里桃花2,0
小巷管家,6.2
不曾想过爱上你,5.9
新包青天之血酬蛊,4.4
爱无痕,0
差等生乔曦,4.6
我为你牺牲,0
奉天往事,3.4
兰心大剧院,7.8
芬芳,0
一时，冲动,0
卡壳,0
相思鸟之恋,2.3
萌妹特攻队,0
来者何人,5.7
春江水暖,7.5
北京爱上你,6.5
海洋动物,0
蜻蜓少年,7.0
林冲之风雪山神庙,5.0
冠军的心,4.5
一切如你,0
打过长江去,0
达道里,0
春潮,7.5
日光之下,6.6
北京屋檐下,5.2
狄仁杰之天神下凡,3.3
宗师叶问,0
一封小情书,0
狼牙关,0
课间休息,8.3
气球,7.8
慕伶，一鸣，伟明,7.4
鱼乐园,7.0
大地震,6.0
法医密码,3.6
筒子楼超人,0
D战,0
你好，李焕英,0
小戏骨黄飞鸿,6.9
别岁,5.6
马赛克少女,5.4
春暖花开,5.0
致命狙杀,4.6
暴雨救援,0
订亲,0
狂暴巨鳄,0
荒岛求生之巨兽来袭,0
我们的四十年,0
战斧行动,0
时光慢递,0
七月之后,0
疯狂一家秀,0
偷龙换凤,0
三年,0
卫校男生：青春反击战,0
狼,0
爱·之痕,0
陵水谣,0
别哭！妈妈,0
风从塬上来,0
扑朔迷离,0
猫腻少女,0
很有态度,0
天真派：杨门女将,0
花开并蒂,0
寻牛,7.2
第四面墙,6.7
拉姆与嘎贝,6.7
长风镇,6.4
榫卯,6.2
海面上漂过的奖杯,6.2
世外之子,5.8
一生只为一事来,5.7
说谎者游戏,5.7
为国而歌,5.1
半镜,4.9
霍元甲之精武天下,4.6
北海食神,4.3
周军的行走,4.0
第三人称,3.6
我的宠物是大象,3.4
爱笑种梦室之龙在江湖,0
天剑修仙传,0
海林都,0
真爱不迟到,0
快刀斩,0
夺命狙击,0
最美的地方遇见你,0
逆光岁月,0
高兴逮笨贼,0
幸福俏冤家,0
嘿，蠢贼,0
豹子头林冲之白虎堂,0
霍家拳之精武英雄,0
西河恋歌,0
空巢也疯狂,0
御林九处之往生桥,0
崮上情天,0
狐妖传1聂小倩,0
一分二,0
御龙修仙传2,0
商业大时代,0
蜜蜂少女队3,0
少年与海,7.2
活着唱着,6.2
冬去冬又来,6.1
刺杀风云,5.9
狂怒的金佛,5.5
50米之恋,4.8
欲望森林,3.3
少年当自强,2.9
我要上头条,2.7
那一夜，我给你开过车,0
当我们海阔天空,0
奔跑的少年,0
樵夫·廖俊波,0
杨靖宇,0
斗法五湖镇,0
桂香街,0
大王派我来巡山,0
巅峰营救,0
昆仑兄弟,0
黄玫瑰,0
我拿什么拯救你,0
在别处,0
