MMM,3M,160.09
AXP,American Express,134.46
AAPL,Apple,326.12
BA,Boeing,345.02
CAT,Caterpillar,140.47
CVX,Chevron,111.91
CSCO,Cisco,47.59
KO,Coca-Cola,59.80
DIS,Disney,141.75
DOW,Dow Chemical,48.30
XOM,Exxon Mobil,60.79
GS,Goldman Sachs,238.62
HD,Home Depot,242.91
IBM,IBM,154.76
INTC,Intel,67.59
JNJ,Johnson & Johnson,150.46
JPM,JPMorgan Chase,138.08
MCD,McDonald's,218.11
MRK,Merck,82.35
MSFT,Microsoft,184.40
NKE,Nike,103.60
PFE,Pfizer,37.15
PG,Procter & Gamble,125.19
TRV,Travelers Companies Inc,136.95
UTX,United Technologies,153.80
UNH,UnitedHealth,303.98
VZ,Verizon,58.60
V,Visa,208.11
WMT,Wal-Mart,117.44
WBA,Walgreen,53.58
